status,official_name,ocr_input,note
exact,Flash,Flash,
exact,Kitesail Freebooter,Kitesail Freebooter,
exact,Duress,Duress,
corrected,Cathartic Pyre,Cathartic Pxre,corrected from: Cathartic Pxre
exact,Bloodtithe Harvester,Bloodtithe Harvester,
exact,Reanimate,Reanimate,
exact,Animate Dead,Animate Dead,
exact,Bitter Triumph,Bitter Triumph,
exact,Concealing Curtains,Concealing Curtains,
exact,Infernal Grasp,Infernal Grasp,
corrected,"Jace, Vryn's Prodigy",lace Vryn'$ Prodigy,corrected from: lace Vryn'$ Prodigy
exact,Bone Shards,Bone Shards,
exact,Necromancy,Necromancy,
exact,Time Walk,Time Walk,
exact,Grief,Grief,
exact,Hullbreacher,Hullbreacher,
exact,Demonic Tutor,Demonic Tutor,
exact,Remand,Remand,
exact,"Narset, Parter of Veils","Narset, Parter of Veils",
corrected,Nethergoyf,Nethergoyf_,corrected from: Nethergoyf_
exact,Overlord of the Balemurk,Overlord of the Balemurk,
exact,Vaultborn Tyrant,Vaultborn Tyrant,
exact,Ancient Tomb,Ancient Tomb,
corrected,Hymn to Tourach,Hymn t0 Tourach,corrected from: Hymn t0 Tourach
exact,Griselbrand,Griselbrand,
corrected,Xander's Lounge,Xander'$ Lounge _,corrected from: Xander'$ Lounge _
exact,Wooded Foothills,Wooded Foothills,
exact,Misty Rainforest,Misty Rainforest,
exact,Volcanic Island,Volcanic Island,
exact,Shelldock Isle,Shelldock Isle,
unmatched,,"Land Pay 1 life, Sacrifice Wooded",no match found
unmatched,,Foothills: Search your library f0o,no match found
unmatched,,"Mountain O Forest card:put it onto the library battlefield, then shuffle your",no match found
unmatched,,Land,no match found
unmatched,,Land Island Mountain,no match found
unmatched,,Hideaway (This land euters the bautlefield,no match found
unmatched,,"Where dragons' breath once burned, thetr",no match found
unmatched,,"tapprd cards of your library, exile one face dozn; then When does, look at the top fon",no match found
unmatched,,put the rest On Ihe bottom of your library ),no match found
unmatched,,bones now freeze:,no match found
unmatched,,Add or ? ),no match found
unmatched,,without Iwenty or fewer cards in it: Add You may play the exiled card paying its mana cost if library has,no match found
unmatched,,aoiltali,no match found
